date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:39	108890/108890	---MCZ	200	added ('OK')	text/html	etag:W/%2264ad508a-1a95a%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html	(from )
11:13:40	114/114	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Aug%202023%2005:43:41%20GMT	https://demos.themeselection.com/robots.txt		(from )
11:13:40	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2005%20Aug%202023%2005:43:42%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/www.googletagmanager.com/gtm.15445.delayed	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
11:13:41	339440/339440	---M--	200	added ('OK')	text/css	etag:%2264ad508b-52df0%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/materialdesignicons.css	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/materialdesignicons.css	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
11:13:41	101119/101119	---M--	200	added ('OK')	text/css	etag:%2264ad508b-18aff%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/fontawesome.css	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/fontawesome.css	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
11:13:41	30783/30783	---M--	200	added ('OK')	text/css	etag:%2264ad508b-783f%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flag-icons.css	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flag-icons.css	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
11:13:41	4080/4080	---M--	200	added ('OK')	text/css	etag:%2264ad508b-ff0%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/libs/node-waves/node-waves.css	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/libs/node-waves/node-waves.css	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
11:13:41	588161/588161	---M--	200	added ('OK')	text/css	etag:%2264ad508b-8f981%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/css/rtl/core.css	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/css/rtl/core.css	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
11:13:41	42728/42728	---M--	200	added ('OK')	text/css	etag:%2264ad508b-a6e8%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/css/rtl/theme-default.css	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/css/rtl/theme-default.css	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
11:13:42	2553/2553	---M--	200	added ('OK')	text/css	etag:%2264ad508b-9f9%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/css/demo.css	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/css/demo.css	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
11:13:42	5470/5470	---M--	200	added ('OK')	text/css	etag:%2264ad508b-155e%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
11:13:42	1825/1825	---M--	200	added ('OK')	text/css	etag:%2264ad508b-721%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/libs/typeahead-js/typeahead.css	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/libs/typeahead-js/typeahead.css	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
11:13:42	19807/19807	---M--	200	added ('OK')	text/css	etag:%2264ad508b-4d5f%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/libs/apex-charts/apex-charts.css	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/libs/apex-charts/apex-charts.css	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
11:13:43	22861/22861	---M--	200	added ('OK')	application/javascript	etag:%2264ad508b-594d%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/js/helpers.js	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/js/helpers.js	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
11:13:43	48547/48547	---M--	200	added ('OK')	application/javascript	etag:%2264ad508b-bda3%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/js/template-customizer.js	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/js/template-customizer.js	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
11:13:43	1152/1152	---M--	200	added ('OK')	application/javascript	etag:%2264ad508d-480%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/js/config.js	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/js/config.js	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
11:13:43	108275/108275	---MCZ	200	added ('OK')	text/html	etag:W/%2264ad508a-1a6f3%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/dashboards-crm.html	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/dashboards-crm.html	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
11:13:43	109446/109446	---MCZ	200	added ('OK')	text/html	etag:W/%2264ad508a-1ab86%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-dashboard.html	D:/HtML%20CSS%20&%20JAVASCRIPT/free%20templates/library/demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/app-ecommerce-dashboard.html	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/html/vertical-menu-template/index.html)
